Labs,Description,Professors
CSForAll Springfield Research Practice Partnership,"CSforAll Springfield is a research practice partnership between: teachers; school and district leaders; specialists from Springfield Public Schools (SPS); a partnership expert from the Five College Consortium; education, social science and computing researchers from University of Massachusetts Amherst and Rutgers University; and evaluators from SageFox Consulting Group. The partnership is supporting teacher-led, dyadic design teams to engage in collaborative Design-Based Implementation Research, focused on the examination, interpretation, and integration of the concepts and practices defined in the Massachusetts DLCS standards to develop student learning progressions, design instructional approaches, and produce equity-based lesson plans ready for full-scale diffusion in K-5 classrooms across SPS.",W. Richards Adrion
Digital Forensics Laboratory,"The Digital Forensics Laboratory is a unique partnership between UMass Amherst and the Massachusetts State Police.  The Lab's work advances digital forensics science and technology, addressing the challenge of the protean nature of computer systems and the Internet. Our core mission is to develop and apply novel research and technology in forensics and privacy to address the interests of government, law, and society.",
"DREAM Lab (Data systems Research for Exploration, Analytics, and Modeling)","Data Management focuses on building systems for efficiently and securely managing data. Data has been playing an increasingly central role, and so data management now encompasses diverse topics, including probabilistic databases, privacy-preserving data analysis, mining and analysis of social networks and graph data, secure database architectures, database support for machine learning, machine learning for data management, database auditing, data stream processing, sensor data management, flash-based database management, provenance, causality, reverse data management, diversity and fairness, among others.","Yanlei Diao, Laura Haas, Peter Haas, Alexandra Meliou, Gerome Miklau, Marco Serafini"
Dynamic and Autonomous Robotic Systems (DARoS) Laboratory,"The DARoS laboratory aims to make robots to be practical tools for human life by advancing the systems faster, smarter, and robust. A primary focus of the DARoS lab is developing dexterous legged robots that can explore anywhere whlie performing important tasks. ",Donghyun Kim
Engineering Research Center for Collaborative Adaptive Sensing of the Atmosphere,"The NSF Engineering Research Center (ERC) for Collaborative Adaptive Sensing of the Atmosphere (CASA) seeks to revolutionize the way we observe, detect, and predict atmospheric phenomena by creating distributed collaborative adaptive sensor networks that sample the atmosphere where and when end-users needs are greatest.",James Kurose
HCI-VIS Lab,"The HCI-VIS Lab conducts both fundamental and applied research at the intersection of HCI and visualization. The mission of the lab is to augment the abilities of individuals and groups to understand data and solve complex problems. The lab develops novel visualization and interaction techniques to facilitate data analysis, communication, and exploration. Additionally, they build community-centered tools to address real-world sociotechnical problems in domains such as civics and healthcare.","Ali Sarvghad Batn Moghaddam, Cindy Ya Xiong"
Human-Centered Robotics Lab,"The Human-Centered Robotics Lab is dedicated to cutting-edge research on lifelong collaborative autonomy, with the goal of enabling robots to operate and adapt over long periods of time (e.g., across days and seasons, and eventually over the robots' lifetimes), and to naturally collaborate with humans and adaptively work with other robots as teammates, in order to take over tasks where our current society has shortcomings and where intelligent robots can be a promising solution or a critical component. Our research lies at the intersection of robotics, artificial intelligence, and machine learning, with specific research topics focusing on robot adaptation and human-robot/swarm teaming in dynamic, unstructured, novel, and potentially adversarial environments.",Hao Zhang
Information Extraction and Synthesis Laboratory,"The Information Extraction and Synthesis Laboratory (IESL) specializes in the theoretical development and implementation of systems for extracting databases from unstructured text on the Web, and mining those databases to find patterns, predict the future, and provide decision support.",Andrew McCallum
Information Fusion Lab,"The Information Fusion Lab focuses on machine learning for multimodal, heterogeneous data, particularly from the health domain. Specifically, the lab researches techniques that can combine images, time series and structured data, and can introduce domain-specific saliency into the models. The Information Fusion lab encompasses expertise on a wide range of ML methods, including deep learning, ensemble learning, object recognition, transfer of causal models and normalizing flows. The target applications include modeling trajectories for chronic conditions such as Alzheimer’s disease and osteoarthritis, medical imaging, clinical outcome prediction for critical care applications and assurance of fairness in health across multiple populations.",Ina Fiterau Brostean
Knowledge Discovery Laboratory,"KDL investigates how to find useful patterns in large and complex databases. We study the underlying principles of data mining algorithms, develop innovative techniques for knowledge discovery, and apply those techniques to practical tasks in areas such as fraud detection, scientific data analysis, and web mining.","Przemek Grabowicz, David Jensen"
Laboratory for Advanced Software Engineering Research,"The Laboratory for Advance Software Engineering Research (LASER) is investigating the issues surrounding the development of complex software, and the construction of software environments. LASER research emphasizes software analysis and software process.","Yuriy Brun, Lori Clarke, Leon Osterweil"
Laboratory for Advanced System Software,"The Laboratory for Advanced System Software (LASS) conducts research in the areas of file systems, operating systems, computer networks, and large-scale distributed systems, all with an emphasis on multimedia.","Prashant Shenoy, Lilly Wu"
Laboratory for Internet-Scale Distributed Systems,"Research at LIDS spans all aspects of  Internet-scale distributed systems and cloud services, including algorithms, architectures, performance, security, economics, and user behavior.  We study foundational scientific principles that enable Internet-based services to be reliable, scalable, secure, high-performance, energy-efficient, and low-cost.",Ramesh Sitaraman
Laboratory for Perceptual Robotics,"The Laboratory for Perceptual Robotics investigates planning and control methodologies for complex, multi-objective robotic systems, geometric reasoning for automated assembly planning, and robot learning. Research platforms include integrated hand/arm systems, mobile robots, legged systems, and articulated stereo heads.",Roderic Grupen
Laboratory in Kine(ma)tics and Geometry (LinKaGe),"The Laboratory in Kine(ma)tics and Geometry's research belongs to computational geometry: the investigation of algorithmic problems with geometric content. Its focus is on rigidity, flexibility and motion for constrained structures like linkages or frameworks in mechanics or robotics. In an interdisciplinary spirit, LinKaGe also considers applications to computational biology, and investigates computational methods for motion generation in molecules (in particular, proteins).",
Natural Language Processing Group (UMass NLP),"The natural language processing group at UMass Amherst is made up of faculty and students from the College of Information & Computer Sciences, as well as affiliated members in linguistics, social sciences, and humanities. Our research spans a diverse range of topics, including computational social science, information extraction, neural language modeling and representation learning, question answering, and digital humanities.","Przemek Grabowicz, Andrew McCallum, Brendan O'Connor, Laure Thompson"
Programming Languages And Systems at Massachusetts,"The PLASMA group (Programming Languages And Systems at MAssachusetts) investigates issues spanning the areas of programming languages, run-time systems (especially memory management) and operating systems. The focus of the group is on cooperative system support for robust and high-performing computing in the context of modern programming languages.","Emery Berger, Yuriy Brun"
Research in Presentation Production for Learning Electronically,The Research in Presentation Production for Learning Electronically (RIPPLES) project is investigating how to most effectively use learning technologies to deliver lectures and course materials inside--and outside of--the classroom.,"W. Richards Adrion, Tim Richards"
Resource Bounded Reasoning Lab,"The Resource-Bounded Reasoning Research Group studies the construction of intelligent systems that can operate in real-time environments under uncertainty and limited computational resources. The group conducts research in decision theory, real-time planning, autonomous agent architectures and reasoning under uncertainty.",Shlomo Zilberstein
"Secure, Private Internet (SPIN) Research Group","The Secure, Private Internet (SPIN) Research Group aims at making Internet communications secure and private. Towards this, we analyze the security and privacy provided by existing network protocols, tools, and services, based on which we propose design adjustments to regain users' security and privacy, or devise clean-slate Internet communication tools. Our work combines the development of practical systems with rigorous theoretical analysis and incorporates techniques from various disciplines such as computer networking, cryptography, and statistics. Particular problems we have explored in the past include Internet censorship resistance, network traffic analysis, network situational awareness, social network malware, mobile security, and multimedia information hiding. ",Amir Houmansadr
SENSORS: Wireless Sensor Networks Group,"The wireless sensor networks research group conducts research on a variety of systems, networking and data managment issues in data-centric sensor networks. The group's focus is on building scalable energy-efficient sensor networks through the use of heterogeneous sensor modalities, sensor platforms and processors.","Deepak Ganesan, Prashant Shenoy"
Statistical Social Language Analysis Lab,"The Statistical Social LANGuage Analysis Lab (SLANG), develops natural language processing and machine learning methods to help scientific investigation about political and social trends.  For example, we analyze Congresisonal bills, news about political events, and sentiment in social media.  We are affiliated with research groups for data science, information retrieval, and computational social science here at UMass.",Brendan O'Connor
"Sustainability, Optimization, Learning, and Algorithms Research (SOLAR) Lab","The SOLAR Lab investigates topics centered around carbon-intelligent computing (application) and data-driven online optimization (theory). In the SOLAR Lab, we develop rigorous algorithms using data-driven online optimization and learning tools that are applicable in several domains, such as data center energy optimization, electricity market, electric vehicles, smart energy systems, and networking applications such as multimedia networking and edge/cloud networking.",Mohammad Hajiesmaili
Theoretical Computer Science Group,"Theoretical Computer Science is the quantitative and formal study of computing: which problems can be solved? what resources (for example, time or memory space) are required to solve them? The group's faculty specialize in a variety of areas, including the complexity of algebraic computations, the complexity of parallel computation, the descriptive complexity of computation, and the theory of parallel and distributed processing.","David A. Mix Barrington, Mohammad Hajiesmaili, Neil Immerman, Hung Le, Arya Mazumdar, Andrew McGregor, Robert Moll, Cameron Musco, Ramesh Sitaraman"
